Title,Link,Publisher,Journal,Author Order,Authors,Year,DOI,Quartile
DETEKSI KESEGERAN IKAN LAYUR BERDASARKAN CITRA MATA MENGGUNAKAN YOLOV8,https://scholar.google.com/scholar?q=+intitle:%27DETEKSI%20KESEGERAN%20IKAN%20LAYUR%20BERDASARKAN%20CITRA%20MATA%20MENGGUNAKAN%20YOLOV8%27,"JATI (Jurnal Mahasiswa Teknik Informatika) 8 (5), 10263-10270, 2024","JATI (Jurnal Mahasiswa Teknik Informatika) 8 (5), 10263-10270, 2024",N/A,"Authors : DA Saputra, I Istiadi, AY Rahman",2024,N/A,N/A
KLASIFIKASI JENIS SARUNG ADAT ILE APE MENGGUNAKAN GLCM DAN SVM,https://scholar.google.com/scholar?q=+intitle:%27KLASIFIKASI%20JENIS%20SARUNG%20ADAT%20ILE%20APE%20MENGGUNAKAN%20GLCM%20DAN%20SVM%27,"JATI (Jurnal Mahasiswa Teknik Informatika) 8 (4), 7196-7203, 2024","JATI (Jurnal Mahasiswa Teknik Informatika) 8 (4), 7196-7203, 2024",N/A,"Authors : K Napulun, I Istiadi, AY Rahman",2024,N/A,N/A
"Optimasi Klasifikasi Sentimen Komentar Pengguna Game Bergerak Menggunakan Svm, Grid Search Dan Kombinasi N-Gram","https://scholar.google.com/scholar?q=+intitle:%27Optimasi%20Klasifikasi%20Sentimen%20Komentar%20Pengguna%20Game%20Bergerak%20Menggunakan%20Svm,%20Grid%20Search%20Dan%20Kombinasi%20N-Gram%27","Jurnal Teknologi Informasi dan Ilmu Komputer 11 (4), 743-752, 2024","Jurnal Teknologi Informasi dan Ilmu Komputer 11 (4), 743-752, 2024",N/A,"Authors : SW Iriananda, RW Budiawan, AY Rahman, I Istiadi",2024,N/A,N/A
Comparison of Pine Seed Quality Classification Using the Naive Bayes and KNN Methods,https://scholar.google.com/scholar?q=+intitle:%27Comparison%20of%20Pine%20Seed%20Quality%20Classification%20Using%20the%20Naive%20Bayes%20and%20KNN%20Methods%27,"Journal of Science and Applied Engineering 7 (1), 42-47, 2024","Journal of Science and Applied Engineering 7 (1), 42-47, 2024",N/A,"Authors : WN Permata, Istiadi, RP Putra",2024,N/A,N/A
Improvement of Starling Image Classification with Gabor and Wavelet Based on Artificial Neural Network,https://scholar.google.com/scholar?q=+intitle:%27Improvement%20of%20Starling%20Image%20Classification%20with%20Gabor%20and%20Wavelet%20Based%20on%20Artificial%20Neural%20Network%27,"JOIV: International Journal on Informatics Visualization 7 (4), 2344-2350, 2023","JOIV: International Journal on Informatics Visualization 7 (4), 2344-2350, 2023",N/A,"Authors : AY Rahman, I Istiadi, AL Hananto, A Fauzi",2023,N/A,N/A
REKOMENDASI PENJUALAN PRODUK PADA DISTRO DECKHOOD MENGGUNAKAN ALGORITMA APRIORI,https://scholar.google.com/scholar?q=+intitle:%27REKOMENDASI%20PENJUALAN%20PRODUK%20PADA%20DISTRO%20DECKHOOD%20MENGGUNAKAN%20ALGORITMA%20APRIORI%27,"Prosidia Widya Saintek 2 (1), 19-28, 2023","Prosidia Widya Saintek 2 (1), 19-28, 2023",N/A,"Authors : L Da Costa, I Istiadi, F Marisa",2023,N/A,N/A
Detection of Tempeh Maturity Quality Using YOLO Tiny V4,https://scholar.google.com/scholar?q=+intitle:%27Detection%20of%20Tempeh%20Maturity%20Quality%20Using%20YOLO%20Tiny%20V4%27,"2023 International Conference on Computer Science, Information Technology …, 2023","2023 International Conference on Computer Science, Information Technology …, 2023",N/A,"Authors : B Setyawan, AY Rahman, I I",2023,N/A,N/A
Segmentasi Citra Burung Lovebird Menggunakan K-Means,https://scholar.google.com/scholar?q=+intitle:%27Segmentasi%20Citra%20Burung%20Lovebird%20Menggunakan%20K-Means%27,"JATISI (Jurnal Teknik Informatika dan Sistem Informasi) 10 (1), 706-718, 2023","JATISI (Jurnal Teknik Informatika dan Sistem Informasi) 10 (1), 706-718, 2023",N/A,"Authors : HD Adoe, AY Rahman, I Istiadi",2023,N/A,N/A
Identification of tempe fermentation maturity using principal component analysis and k-nearest neighbor,https://scholar.google.com/scholar?q=+intitle:%27Identification%20of%20tempe%20fermentation%20maturity%20using%20principal%20component%20analysis%20and%20k-nearest%20neighbor%27,"Sinkron: jurnal dan penelitian teknik informatika 7 (1), 286-294, 2023","Sinkron: jurnal dan penelitian teknik informatika 7 (1), 286-294, 2023",N/A,"Authors : I Istiadi, AY Rahman, ADR Wisnu",2023,N/A,N/A
Video-Based Lobster Species Identification Using YOLOv7,https://scholar.google.com/scholar?q=+intitle:%27Video-Based%20Lobster%20Species%20Identification%20Using%20YOLOv7%27,"2023 International Conference on Modeling & E-Information Research …, 2023","2023 International Conference on Modeling & E-Information Research …, 2023",N/A,"Authors : AA Raihan, AY Rahman, Istiadi",2023,N/A,N/A
